sku,name,product,number,unit
4020002,新咖喱鱼丸,11018052,0.06,公斤
4020002,新咖喱鱼丸,11018073,6,个
4020010,Q弹鱼饼,11014046,2,块
4020010,Q弹鱼饼,11023111,0.018,公斤
3010048,新小枸杞露,11022122,0.023,公斤
8010021,卤蛋,11010080,1,个
3010006,金杏蜜桃汁,11012024,0.077,公斤
3010027,麦香五谷露,11022133,0.043,公斤
3010041,沙棘果汁,11023300,0.0833,公斤
4020003,香辣_翅,11023094,0.0014,公斤
4020003,香辣_翅,11018050,1,个
4020003,香辣_翅,11014007,1,个
4020005,外婆菜,11050024,0.055,公斤
4020005,外婆菜,11023094,0.005,公斤
3010003,热豆浆（小）,11023098,0.036,公斤
3010007,百事可乐,11022005,0.055,升
4020009,Q趣香肠,11022113,0.003,公斤
4010002,豆花布丁,11022118,0.01,公斤
4010002,豆花布丁,11022117,0.024,公斤
3010049,新枸杞露,11022122,0.03,公斤
4020020,馋香蒸饺,11012037,3,个
4020027,紫菜鸡肉卷,11018057,2,串
4020027,紫菜鸡肉卷,11023126,0.0035,公斤
4020001,香滑蒸蛋,11030072,0.01,公斤
3010028,麦香五谷露（小）,11022133,0.032,公斤
3010001,冻豆浆,11023098,0.066,公斤
3010016,百事可乐（罐）,11023103,1,罐
8010024,蒸情排骨香芋,11023013,0.0001,瓶
8010026,古惑烧卖,11018042,3,个
8010025,纠结凤爪,11031071,0.033,袋
8010027,给力蒸饺,11012037,3,个
3010002,热豆浆,11023098,0.048,公斤
1010001,大白饭,11021010,0.115,公斤
5010002,田园彩豆,11090011,0.0024,公斤
5010002,田园彩豆,11017007,0.09,公斤
5010002,田园彩豆,11031059,0.09,公斤
1010071,黄豆酱鱼菜,11012039,0.05,公斤
1010071,黄豆酱鱼菜,11050064,0.069,公斤
1010071,黄豆酱鱼菜,11031024,0.002,公斤
1010069,虫草花蒸土鸡菜,11037068,0.1533,公斤
1010069,虫草花蒸土鸡菜,11090303,0.0243,公斤
1010069,虫草花蒸土鸡菜,11090304,0.1666,包
1010069,虫草花蒸土鸡菜,11037067,0.1666,袋
1010069,虫草花蒸土鸡菜,11040006,0.1666,包
1010069,虫草花蒸土鸡菜,11023488,0.0115,公斤
1010012,鱼香茄子菜,11018071,1,袋
2010001,竹丝鸡汤,11090018,0.0032,公斤
1010009,榨菜牛肉菜,11031101,0.116,公斤
1010019,酱香花腩菜,11030062,0.08444,公斤
1010002,香汁排骨菜,11031104,0.16,公斤
1010002,香汁排骨菜,11037063,0.16,小包
1010008,鲜剁冬菇肉饼菜,11053003,0.03,公斤
1010008,鲜剁冬菇肉饼菜,11030054,1,份
1010074,香干拼鸡腿肉菜,11031092,0.04444,公斤
1010074,香干拼鸡腿肉菜,11018080,0.05,公斤
1010074,香干拼鸡腿肉菜,11090100,0.01055,公斤
1010074,香干拼鸡腿肉菜,11031093,0.02389,公斤
1010074,香干拼鸡腿肉菜,11023094,0.008,公斤
1010074,香干拼鸡腿肉菜,11018047,0.0544,公斤
1010074,香干拼鸡腿肉菜,11037062,0.0157,公斤
1010074,香干拼鸡腿肉菜,11023064,0.0001,瓶
1010074,香干拼鸡腿肉菜,11090074,0.0041,公斤
1010074,香干拼鸡腿肉菜,11029200,0.0022,公斤
1010003,冬菇鸡腿肉菜,11030058,0.1058,公斤
1010003,冬菇鸡腿肉菜,11031069,0.0297,公斤
1010003,冬菇鸡腿肉菜,11023064,0.0057,瓶
1010003,冬菇鸡腿肉菜,11023066,0.00388,公斤
1010003,冬菇鸡腿肉菜,11090033,0.0087,公斤
1010017,排骨拼鸡腿肉菜,11090075,0.005,公斤
2020002,四季猪骨汤,11032033,1,个
5010001,生菜王,11090072,0.00173,公斤
5010001,生菜王,11027039,0.0076,公斤
1010006,酸菜卤肉菜,11053032,0.07,公斤
1010006,酸菜卤肉菜,11023094,0.00125,公斤
1010006,酸菜卤肉菜,11050031,0.12,公斤
5010003,西兰花,11031003,0.09,公斤
2010011,原盅土鸡汤,11032054,1,个
2010011,原盅土鸡汤,11090018,0.00354,公斤
1010007,鲜辣排骨菜,11090076,0.0083,公斤
1010049,新香干炒肉菜,11031092,0.08,公斤
1010049,新香干炒肉菜,11018080,0.09,公斤
1010049,新香干炒肉菜,11031093,0.043,公斤
1010049,新香干炒肉菜,11090100,0.019,公斤
1010049,新香干炒肉菜,11023094,0.015,公斤
1010011,宫保鸡丁菜,11022123,0.03,公斤
1010016,豆角拼鸡腿肉菜,11018047,0.0544,公斤
1010015,香干炒肉菜,11031093,0.043,公斤
1010015,香干炒肉菜,11031078,0.043,公斤
1010015,香干炒肉菜,11012030,0.09,公斤
1010015,香干炒肉菜,11031092,0.08,公斤
1010005,鼎级肥牛菜,11031056,0.056,公斤
1010005,鼎级肥牛菜,11010036,0.09,公斤
1010010,云耳焖鸭菜,11030063,0.1266,公斤
1010010,云耳焖鸭菜,11031076,0.05,公斤
1010010,云耳焖鸭菜,11090053,0.125,小包
1010010,云耳焖鸭菜,11031075,0.125,小包
1010013,古法狮子头菜,11031015,0.05,公斤
7010003,小五香牛腩粉,11022029,0.096,公斤
7010003,小五香牛腩粉,11090019,0.0041,公斤
7010003,小五香牛腩粉,11050032,0.135,公斤
7010003,小五香牛腩粉,11023078,0.0029,公斤
7010003,小五香牛腩粉,11023090,0.0029,公斤
7010003,小五香牛腩粉,11021002,0.092,公斤
7010003,小五香牛腩粉,11031015,0.015,公斤
7010004,紫菜鱼蛋粉,11023078,0.0029,公斤
7010001,小瘦肉粉,11021002,0.092,公斤
7010001,小瘦肉粉,11031015,0.015,公斤
7010001,小瘦肉粉,11022029,0.096,公斤
7010001,小瘦肉粉,11090019,0.0041,公斤
7010001,小瘦肉粉,11030052,0.06,公斤
7010001,小瘦肉粉,11023090,0.0029,公斤
7010016,鲜香肉酱蒸米粉,11090029,0.002,公斤
7010016,鲜香肉酱蒸米粉,11031053,0.03,公斤
7010016,鲜香肉酱蒸米粉,11023077,0.00087,瓶
7010016,鲜香肉酱蒸米粉,11021002,0.077,公斤
7010016,鲜香肉酱蒸米粉,11023094,0.00425,公斤
7010016,鲜香肉酱蒸米粉,11050035,0.016,公斤
7010016,鲜香肉酱蒸米粉,11090015,0.0025,公斤
7010041,原盅土鸡汤粉,11090018,0.00354,公斤
7010041,原盅土鸡汤粉,11021002,0.092,公斤
7010041,原盅土鸡汤粉,11090019,0.0033,公斤
7010041,原盅土鸡汤粉,11031015,0.015,公斤
7010041,原盅土鸡汤粉,11031024,0.002,公斤
7010010,酸菜肉丝粉,11021002,0.08775,公斤
7010010,酸菜肉丝粉,11022029,0.096,公斤
7010010,酸菜肉丝粉,11023078,0.0019,公斤
7010010,酸菜肉丝粉,11023090,0.0019,公斤
7010010,酸菜肉丝粉,11090019,0.00273,公斤
7010010,酸菜肉丝粉,11053031,0.085,公斤
6010002,皮蛋瘦肉粥,11023056,0.0032,公斤
6010002,皮蛋瘦肉粥,11028001,0.0417,公斤
6010002,皮蛋瘦肉粥,11024001,0.0417,公斤
6010002,皮蛋瘦肉粥,21021502,0.00725,公斤
6010002,皮蛋瘦肉粥,11023066,0.0042,公斤
8010015,猪肉玉米包,11010056,2,个
8010009,单个鸡蛋花卷,11010050,1,个
8010003,鸡蛋花卷,11010050,2,个
8010004,荷香糯米鸡,11054022,1,个
8010046,黑米包,11012040,2,个
8010047,单个黑米包,11012040,1,个
8010016,单个猪肉包,11010056,1,个
9010001,香滑肠粉,11030072,0.04,公斤
6010001,白粥,11023066,0.00187,公斤
6010001,白粥,21021502,0.00769,公斤
6010001,白粥,11028001,0.0305,公斤
6010001,白粥,11024001,0.0305,公斤
8010042,酸豆角肉包,11018058,2,个
6010004,玉米燕麦粥,11028001,0.01631,公斤
6010004,玉米燕麦粥,11024001,0.01631,公斤
6010004,玉米燕麦粥,11091005,0.00411,公斤
6010004,玉米燕麦粥,21021502,0.00411,公斤
8010005,麦香豆沙包,11010043,2,个
6010005,红薯小米粥,11028001,0.01135,公斤
6010005,红薯小米粥,11024001,0.01135,公斤
6010005,红薯小米粥,11091005,0.00286,公斤
6010005,红薯小米粥,21021502,0.00286,公斤
6010005,红薯小米粥,11023066,0.0007,公斤
10010002,红豆冻奶茶,11022066,0.07,公斤
10020013,香脆Q蛋仔,11053072,0.01,公斤
10020013,香脆Q蛋仔,11053071,0.01,公斤
10010003,珍珠冻奶茶,11022067,0.0312,包
10010001,冻奶茶,11022016,0.035,公斤
10010001,冻奶茶,11022067,0.0357,包
10020004,椰汁红豆西米露,11012028,0.017,公斤
10020004,椰汁红豆西米露,11012012,0.017,公斤
10020004,椰汁红豆西米露,11022016,0.017,公斤
10010006,热奶茶,11022016,0.022,公斤
10010006,热奶茶,11022067,0.0357,包
10010006,热奶茶,11022066,0.085,公斤
10010007,红豆热奶茶,11080042,0.04,公斤
10010007,红豆热奶茶,11022067,0.031,包
10010007,红豆热奶茶,11022066,0.069,公斤
10010007,红豆热奶茶,11022016,0.019,公斤
10010007,红豆热奶茶,11022067,0.0312,包
10010007,红豆热奶茶,11022016,0.03,公斤
10010007,红豆热奶茶,11080042,0.04,公斤
10010008,珍珠热奶茶,11022066,0.069,公斤
10010008,珍珠热奶茶,11022067,0.031,包
10010008,珍珠热奶茶,11022016,0.026,公斤
10010008,珍珠热奶茶,11022105,0.02,公斤